Program input size,Round time (k768),Round time (k1024),Round time (k1536),Round time (k2048),Round time (k3072),Message size (k768),Message size (k1024),Message size (k1536),Message size (k2048),Message size (k3072)
1280,17.41,35.04,107.18,241.74,767.91,12.93,16.73,24.34,31.95,47.17
2560,17.62,35.14,107.24,242.94,790.98,13.17,17.06,24.84,32.61,48.16
5120,17.89,36.46,110.19,250.20,811.78,13.67,17.72,25.82,33.92,50.12
14080,19.12,38.96,118.08,271.13,864.05,15.40,20.02,29.27,38.52,57.01
