Program input size,Round time (k768),Round time (k1024),Round time (k1536),Round time (k2048),Round time (k3072),Message size (k768),Message size (k1024),Message size (k1536),Message size (k2048),Message size (k3072)
1920,24.69,49.58,152.17,343.69,1110.60,18.35,23.75,34.55,45.36,66.96
2560,25.08,49.59,152.09,345.16,1107.79,18.47,23.92,34.80,45.68,67.45
3840,24.76,50.22,153.66,348.13,1115.27,18.72,24.24,35.29,46.34,68.44
8320,25.56,51.37,158.42,359.59,1158.41,19.58,25.40,37.02,48.64,71.88
13120,26.22,52.65,161.58,370.66,1333.60,20.51,26.63,38.86,51.10,75.57
14720,35.52,64.29,185.48,423.75,1328.13,20.82,27.04,39.48,51.92,76.80
