Program input size,Round time (k768),Round time (k1024),Round time (k1536),Round time (k2048),Round time (k3072),Message size (k768),Message size (k1024),Message size (k1536),Message size (k2048),Message size (k3072)
640,9.38,17.24,52.70,119.75,384.19,6.34,8.20,11.94,15.67,23.13
1280,8.53,17.31,52.21,119.04,384.68,6.46,8.37,12.18,15.99,23.62
2560,9.05,17.75,53.88,124.80,396.78,6.71,8.70,12.67,16.65,24.61
7040,9.30,19.26,57.82,132.70,421.78,7.57,9.85,14.40,18.95,28.05
11840,10.13,20.45,62.86,143.42,489.71,8.50,11.08,16.25,21.41,31.74
16640,11.68,21.88,67.48,152.45,492.81,9.43,12.32,18.09,23.87,35.43

