Gate count,Message size (k768),Message size (k1024),Message size (k1536),Message size (k2048),Message size (k3072)
1705,2.87,3.77,5.57,7.37,10.96
5700,9.58,12.58,18.57,24.56,36.54
9493,15.95,20.94,30.92,40.90,60.85
18959,31.86,41.83,61.75,81.68,121.53
