Security parameter,Monitor time (p640c7127),Program time (p640c7127),Monitor time (p1280c14542),Program time (p1280c14542),Monitor time (p3840c42145),Program time (p3840c42145),Monitor time (p1920c20618),Program time (p1920c20618)
768,2.78,7.00,5.80,13.65,15.68,38.96,7.07,17.84
1024,4.93,14.01,10.19,26.18,29.65,78.40,14.55,38.14
1536,14.02,40.54,28.62,83.51,91.00,261.96,40.59,117.54
2048,31.54,93.39,63.93,191.02,182.02,545.85,92.77,272.58
3072,100.67,301.73,204.26,616.61,626.25,1822.67,291.42,877.06

